location,continent,fully_vaccinated_pct,death_rate
Gibraltar,Europe,126.76,0.54
Qatar,Asia,105.73,0.14
"United Arab Emirates",Asia,103.72,0.22
Brunei,Asia,99.32,0.09
Samoa,Oceania,96.71,0.18
Singapore,Asia,90.71,0.08
Macao,Asia,90.53,0.58
"Hong Kong",Asia,90.51,0.49
Chile,"South America",90.25,1.26
China,Asia,89.27,0.29
Cuba,"North America",89.21,0.77
Malta,Europe,88.37,0.70
"Cayman Islands","North America",88.03,0.11
Cambodia,Asia,87.04,2.21
Vietnam,Asia,86.81,0.37
Bhutan,Asia,86.61,0.03
Portugal,Europe,86.49,0.46
"Cook Islands",Oceania,86.40,0.02
"South Korea",Asia,86.28,0.11
Taiwan,Asia,86.16,0.17
